success,spl,distance
0.0,0.0,16.379427
0.0,0.0,12.8062725
0.0,0.0,19.324326
0.0,0.0,15.372223
0.0,0.0,12.74572
0.0,0.0,11.395428
0.0,0.0,16.942266
0.0,0.0,12.534321
0.0,0.0,26.219057
0.0,0.0,22.517204
0.0,0.0,12.270956
0.0,0.0,16.983192
0.0,0.0,13.142476
0.0,0.0,18.886665
0.0,0.0,27.09403
0.0,0.0,13.393801
0.0,0.0,20.843592
0.0,0.0,15.59566
0.0,0.0,23.4842
0.0,0.0,15.268664
0.0,0.0,23.420319
0.0,0.0,11.52804
0.0,0.0,22.511072
0.0,0.0,12.414544
0.0,0.0,11.855707
0.0,0.0,11.309467
0.0,0.0,24.583559
0.0,0.0,18.68852
0.0,0.0,21.881777
0.0,0.0,19.381834
0.0,0.0,23.89741
0.0,0.0,25.57212
0.0,0.0,23.98019
0.0,0.0,21.410055
0.0,0.0,14.164027
0.0,0.0,22.730965
0.0,0.0,18.658094
0.0,0.0,10.692397
0.0,0.0,16.306303
0.0,0.0,20.96254
0.0,0.0,15.297749
